App_ID,App_Name,Category,Ratings,Installs,Price,Last_updated,
1,WhatsApp,Communication,4.5,100000000,0,2025-07-12,
2,Cure.fit,Health & Fitness,2.9,10000000,599,2025-06-10,
3,Unacademy,Education & Learning ,3.2,50000000,1000,2024-04-04,
4,Practo,Health & Fitness,3.8,7000000,299,2023-03-12,
5,Google Maps,Travel & Navigation,4.4,100000000,0,2025-07-12,
6,Byju's,Education & Learning ,3.9,67000000,899,2022-02-02,
7,Goibibo,Travel & Navigation,1.8,50000000,599,2025-07-12,
8,Uber,Travel & Navigation,4.5,10000000,0,2025-07-12,
9,Free Fire,Gaming,4.8,10000000,999,2025-07-12,
10,HealthifyMe,Health & Fitness,3.6,9000000,450,2025-07-12,
11,Google Classroom,Education & Learning ,4.7,99000000,600,2025-07-12,
12,Messenger,Communication,4.8,50000000,0,2025-07-12,
13,Ola,Travel & Navigation,4.5,10000000,0,2022-04-21,
14,Ludo King,Gaming,1.1,10000000,450,2025-06-10,
15,Gmail,Utility ,4.8,100000000,0,2024-07-12,
16,Telegram,Communication,4,10000000,0,2025-07-12,
17,Coursera,Education & Learning ,4.7,9000000,0,2022-09-09,
18,Make my Trip,Travel & Navigation,3.5,10000000,589,2021-05-11,
19,Google Pay,Payment & Finance ,4.1,10000000,0,2025-07-12,
20,Urban Company,Utility ,3.1,8000000,300,2024-07-12,
21,PhonePe,Payment & Finance ,3.9,5000000,0,2022-05-22,
22,Instagram,Social Media,4.8,5000000,0,2021-07-01,
23,Aadhaar,Utility ,3.6,100000,0,2025-07-12,
24,Google Meet,Communication,4.2,10000000,0,2024-07-03,
25,Google Photos,Utility ,4,10000000,0,2025-07-12,
26,Paytm,Payment & Finance ,3.9,45000000,0,2021-01-10,
27,Facebook,Social Media,4.3,110000000,0,2025-07-12,
28,Threads,Social Media,4,99000000,0,2025-07-12,
29,SHEIN,E-commerce,1.5,10000000,0,2025-02-04,
30,Walmart,E-commerce,2.7,10000,0,2022-05-22,
31,Flipkart,E-commerce,4.7,4990000,0,2023-07-12,
32,WhatsApp,Communication,4.5,100000000,0,2025-07-12,
33,Cure.fit,Health & Fitness,2.9,10000000,700,2025-06-10,
34,Unacademy,Education & Learning ,3.2,50000000,299,2024-04-04,
35,Practo,Health & Fitness,3.8,7000000,0,2023-03-12,
36,Google Maps,Travel & Navigation,4.4,10000000,670,2025-07-12,
37,Byju's,Education & Learning ,3.9,67000000,599,2022-02-02,
38,Goibibo,Travel & Navigation,2.9,50000000,0,2025-07-12,
39,Uber,Travel & Navigation,4.5,10000000,199,2025-07-12,
40,Free Fire,Gaming,4.8,10000000,950,2025-07-12,
41,HealthifyMe,Health & Fitness,3.6,9000000,650,2023-07-12,
42,Google Classroom,Education & Learning ,4.7,99000000,0,2025-07-12,
43,Messenger,Communication,4.8,5000000,0,2025-07-12,
44,Ola,Travel & Navigation,4.5,10000000,450,2022-04-21,
45,Ludo King,Gaming,3.6,10000000,0,2025-06-10,
46,Gmail,Utility ,4.8,10000000,0,2024-07-12,
